True Values,Predicted Values
-2.739273241,-3.5344830774415366
-4.853247514,-5.690381606853581
-2.498271838,-2.462139498922052
-2.943687832,-2.419877253744918
-1.79,-1.8881919233071112
-2.29,-1.4023200132150468
0.285847566,-2.3873670740096986
-4.657840035,-3.741856030100035
-1.911782265,-0.8623992455125706
-4.258271222,-3.9963356626663766
-4.887169116,-5.048584943322596
-1.24,-0.6586475121882246
-4.29417848,-4.973262396669623
-1.13,-1.5255470388429955
0.364315227,-0.04986539678376854
-4.5999999,-4.41560554106904
-4.061571701,-4.303399798897901
-2.437477847,-2.5762678250880513
-5.459859141,-4.9112229601770965
-5.3800001,-5.315202207404741
-5.305966488,-4.622171042240305
0.849087089,0.4085923496046741
0.50894091,-0.8640373363508586
-3.03,-2.4316481894090245
-4.118852797,-3.7347032639501845
-2.810603515,-2.2662133968696048
-3.367022524,-3.23353706584396
-4.191870982,-4.552133286875678
-2.422221171,-2.189192955354628
-2.559613874,-2.5969524347478163
-1.162250286,-2.5878913241669883
-1.162377904,-0.9695886839880538
-3.345961532,-4.014907545055542
-1.4,-1.437636644442359
-1.981471596,-2.205801537975522
-6.448866965,-5.968559828684614
-6.6199999,-7.056234048290976
-4.6100001,-3.486364513412487
0.001793448,-0.6988511830021226
0.8147951,0.4150975410122829
0.458107615,-1.2791035199497631
-2.163747133,-2.056016722599224
-4.363099872,-5.30699976403797
-2.9659295,-2.206737154444859
-0.5608856,-0.8956165379825074
-4.35575263,-5.134276645817334
-1.291934418,-2.292351121432185
-0.822244418,-0.48968477791123494
-2.702857893,-2.376980113287037
-0.207514254,-0.3323953922701123
-4.113623901,-3.8109129080489392
-0.804689247,-1.4093010733372981
-2.765899586,-2.862172522506127
0.039999999,0.009626652944434207
-4.222435519,-4.750899756813269
-4.228730244,-5.167826018471582
-5.971229336,-4.658917948072614
-5.323868106,-4.920670415857295
-3.8,-3.544503781286871
-1.695427229,-1.8589218589509435
-1.36,-1.3305150723285175
0.602077346,0.5628318138360042
-5.396470211,-5.152538520611721
-3.177880228,-2.443564615510605
-3.891069358,-3.56694647138558
0.49000001,0.47200576768005315
-0.421269318,-1.426083038443158
-4.4400001,-4.068806376105843
-1.435516387,-1.9882738170294039
-1.569624523,-3.0687486933812678
-2.56213723,-3.5549531847850697
-0.441643715,-0.7224137825034607
-2.364295705,-1.9983815494435595
-0.746436269,-5.6055755382700765
-2.3900001,-2.5936190911034496
-0.713735462,-0.5543308682189964
-2.847148805,-2.9661789097509668
-4.049147842,-3.9847991481767964
-1.74217923,-2.010222654985082
0.730328334,0.6376286910979576
-2.66253847,-2.168838393204662
-4.683951269,-4.524536703879655
-0.089849131,-0.08446932256490151
-7.466676129,-6.814775310420397
-4.481951358,-4.805983606081039
-3.4000001,-1.2117049160354838
-3.989285362,-1.909637546548834
0.851725707,-0.050730559046398595
-3.76871563,-3.8190868502176296
-1.007740604,-0.997440183942006
0.297363559,0.5659103514319206
-1.54,-1.5045970541706355
-5.162158939,-5.339778467192121
-2.387049191,-1.8991228089645804
-5.623232549,-4.327238993603321
0.487023594,-0.7383348911871871
0.313166279,0.3632057942602442
-1.518631896,-1.2000196496306135
1.14,-2.0237753462951704
-3.162092979,-3.0321179002496192
-3.576256936,-2.8754242721522933
